timestamp,session_id,user_query,bot_response,predicted_intent,actual_intent,confidence,channel,resolved
2026-03-01T09:00:00Z,SESS10000,What is the capital of France?,I am not fully sure. Please rephrase your question or contact support.,unknown,unknown,0.1838,email,False
2026-03-01T09:17:00Z,SESS10001,How can I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",orders_shipping,orders_shipping,0.6648,web_chat,True
2026-03-01T09:34:00Z,SESS10002,Can I change my order after it has been placed?,I am not fully sure. Please rephrase your question or contact support.,payment_promotions,orders_shipping,0.2478,web_chat,False
2026-03-01T09:51:00Z,SESS10003,What is your price adjustment policy?,"If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",payment_promotions,payment_promotions,0.7933,whatsapp,True
2026-03-01T10:08:00Z,SESS10004,How can I apply for a job at your company?,"To apply for a job at our company, visit our Careers page, where you can find current job openings and submit your application.",orders_shipping,orders_shipping,0.6638,web_chat,True
2026-03-01T10:25:00Z,SESS10005,Can I order a product if it is listed as 'pre-order' but available for backorder?,"If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.",product_availability,product_availability,0.8683,whatsapp,True
2026-03-01T10:42:00Z,SESS10006,Can I request a refund if the price drops after my purchase?,"If the price of a product drops within 7 days of your purchase, you may be eligible for a price adjustment. Please contact our customer support team with your order details.",payment_promotions,payment_promotions,0.7093,mobile_app,True
2026-03-01T10:59:00Z,SESS10007,Can I use multiple promo codes on a single order?,"Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.",payment_promotions,payment_promotions,0.6188,mobile_app,True
2026-03-01T11:16:00Z,SESS10008,Can I change my order after it has been placed?,"If you need to change your order, please contact our customer support team as soon as possible. We will do our best to accommodate your request if the order has not been processed yet.",orders_shipping,orders_shipping,0.902,web_chat,True
2026-03-01T11:33:00Z,SESS10009,What is your privacy policy?,"Our privacy policy outlines how we collect, use, and protect your personal information. Please visit our Privacy Policy page for detailed information.",orders_shipping,orders_shipping,0.8573,whatsapp,True
2026-03-01T11:50:00Z,SESS10010,Can I order a product if it is listed as 'sold out' but available for pre-order?,"If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.",product_availability,product_availability,0.6099,mobile_app,True
2026-03-01T12:07:00Z,SESS10011,What is the warranty on your products?,The warranty on our products varies by item. Please refer to the product page for specific warranty information or contact our customer support team.,orders_shipping,orders_shipping,0.7994,web_chat,True
2026-03-01T12:24:00Z,SESS10012,Tell me a joke.,I am not fully sure. Please rephrase your question or contact support.,unknown,unknown,0.2179,email,False
2026-03-01T12:41:00Z,SESS10013,How can I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",orders_shipping,orders_shipping,0.9093,whatsapp,True
2026-03-01T12:58:00Z,SESS10014,How do I unsubscribe from your newsletter?,"To unsubscribe from our newsletter, click on the 'Unsubscribe' link at the bottom of any of our newsletter emails or update your preferences in your account settings.",orders_shipping,orders_shipping,0.8216,mobile_app,True
2026-03-01T13:15:00Z,SESS10015,What is your privacy policy?,"Our privacy policy outlines how we collect, use, and protect your personal information. Please visit our Privacy Policy page for detailed information.",orders_shipping,orders_shipping,0.715,web_chat,True
2026-03-01T13:32:00Z,SESS10016,How do I update my account information?,"To update your account information, log in to your account, navigate to the 'Account Settings' section, and make the necessary changes.",orders_shipping,orders_shipping,0.8115,email,True
2026-03-01T13:49:00Z,SESS10017,How can I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",orders_shipping,orders_shipping,0.6421,email,True
2026-03-01T14:06:00Z,SESS10018,Can I request a product if it is not currently available in my size?,"If a product is not available in your size, it may be temporarily out of stock. Please check back later or sign up for size notifications.",product_availability,product_availability,0.8402,web_chat,True
2026-03-01T14:23:00Z,SESS10019,What payment methods do you accept?,I am not fully sure. Please rephrase your question or contact support.,gift_special_services,payment_promotions,0.3044,web_chat,False
2026-03-01T14:40:00Z,SESS10020,What is the warranty on your products?,The warranty on our products varies by item. Please refer to the product page for specific warranty information or contact our customer support team.,orders_shipping,orders_shipping,0.6602,mobile_app,True
2026-03-01T14:57:00Z,SESS10021,What is the warranty on your products?,The warranty on our products varies by item. Please refer to the product page for specific warranty information or contact our customer support team.,orders_shipping,orders_shipping,0.6608,whatsapp,True
2026-03-01T15:14:00Z,SESS10022,Can I request an invoice for my order?,"Yes, an invoice is usually included with your order. If you require a separate invoice, please contact our customer support team with your order details.",payment_promotions,payment_promotions,0.6343,mobile_app,True
2026-03-01T15:31:00Z,SESS10023,How can I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",orders_shipping,orders_shipping,0.8639,whatsapp,True
2026-03-01T15:48:00Z,SESS10024,Can you recommend a movie?,I am not fully sure. Please rephrase your question or contact support.,unknown,unknown,0.1513,web_chat,False
2026-03-01T16:05:00Z,SESS10025,What is the warranty on your products?,The warranty on our products varies by item. Please refer to the product page for specific warranty information or contact our customer support team.,orders_shipping,orders_shipping,0.8672,email,True
2026-03-01T16:22:00Z,SESS10026,Can I use multiple promo codes on a single order?,"Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.",payment_promotions,payment_promotions,0.8184,whatsapp,True
2026-03-01T16:39:00Z,SESS10027,How do I update my account information?,"To update your account information, log in to your account, navigate to the 'Account Settings' section, and make the necessary changes.",orders_shipping,orders_shipping,0.8066,whatsapp,True
2026-03-01T16:56:00Z,SESS10028,Can I return a product if it was damaged due to improper use?,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.,returns_refunds,returns_refunds,0.7811,web_chat,True
2026-03-01T17:13:00Z,SESS10029,What should I do if I receive the wrong item?,I am not fully sure. Please rephrase your question or contact support.,support_contact,order_issues,0.4183,mobile_app,False
2026-03-01T17:30:00Z,SESS10030,Can I request a refund if the price drops after my purchase?,"If the price of a product drops within 7 days of your purchase, you may be eligible for a price adjustment. Please contact our customer support team with your order details.",payment_promotions,payment_promotions,0.6224,whatsapp,True
2026-03-01T17:47:00Z,SESS10031,Can I return a product if it was purchased as a gift?,"Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.",returns_refunds,returns_refunds,0.5812,mobile_app,True
2026-03-01T18:04:00Z,SESS10032,Can I request a product if it is listed as 'coming soon' but not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.",product_availability,product_availability,0.9493,web_chat,True
2026-03-01T18:21:00Z,SESS10033,How can I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",orders_shipping,orders_shipping,0.9108,email,True
2026-03-01T18:38:00Z,SESS10034,What is the warranty on your products?,The warranty on our products varies by item. Please refer to the product page for specific warranty information or contact our customer support team.,orders_shipping,orders_shipping,0.6381,web_chat,True
2026-03-01T18:55:00Z,SESS10035,What is your price adjustment policy?,"If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",payment_promotions,payment_promotions,0.8076,web_chat,True
2026-03-01T19:12:00Z,SESS10036,Tell me a joke.,I am not fully sure. Please rephrase your question or contact support.,unknown,unknown,0.1135,email,False
2026-03-01T19:29:00Z,SESS10037,How can I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",orders_shipping,orders_shipping,0.9136,web_chat,True
2026-03-01T19:46:00Z,SESS10038,What are your business hours?,"Our business hours are [working hours]. During these hours, our customer support team is available to assist you with any inquiries or issues.",orders_shipping,orders_shipping,0.8581,email,True
2026-03-01T20:03:00Z,SESS10039,How can I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",orders_shipping,orders_shipping,0.6288,email,True
2026-03-01T20:20:00Z,SESS10040,Can I order a product if it is listed as 'sold out'?,"If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.",product_availability,product_availability,0.6807,whatsapp,True
2026-03-01T20:37:00Z,SESS10041,What is the warranty on your products?,The warranty on our products varies by item. Please refer to the product page for specific warranty information or contact our customer support team.,orders_shipping,orders_shipping,0.9465,email,True
2026-03-01T20:54:00Z,SESS10042,Can I return a product if it was purchased with a discount code?,"Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.",payment_promotions,payment_promotions,0.8509,mobile_app,True
2026-03-01T21:11:00Z,SESS10043,Can I return a product if it was a clearance or final sale item?,Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.,payment_promotions,payment_promotions,0.7465,web_chat,True
2026-03-01T21:28:00Z,SESS10044,How do I update my account information?,I am not fully sure. Please rephrase your question or contact support.,account_checkout,orders_shipping,0.3624,email,False
2026-03-01T21:45:00Z,SESS10045,Can I order a product if it is listed as 'sold out'?,I am not fully sure. Please rephrase your question or contact support.,account_checkout,product_availability,0.251,web_chat,False
2026-03-01T22:02:00Z,SESS10046,What are your business hours?,I am not fully sure. Please rephrase your question or contact support.,order_issues,orders_shipping,0.2663,whatsapp,False
2026-03-01T22:19:00Z,SESS10047,Can I use multiple promo codes on a single order?,"Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.",payment_promotions,payment_promotions,0.6614,whatsapp,True
2026-03-01T22:36:00Z,SESS10048,What's the weather today?,I am not fully sure. Please rephrase your question or contact support.,unknown,unknown,0.193,email,False
2026-03-01T22:53:00Z,SESS10049,How can I apply for a job at your company?,"To apply for a job at our company, visit our Careers page, where you can find current job openings and submit your application.",orders_shipping,orders_shipping,0.6158,mobile_app,True
2026-03-01T23:10:00Z,SESS10050,Do you offer bulk or wholesale discounts?,"Yes, we offer bulk or wholesale discounts for certain products. Please contact our customer support team or visit our Wholesale page for more information and to discuss your specific requirements.",payment_promotions,payment_promotions,0.741,web_chat,True
2026-03-01T23:27:00Z,SESS10051,What is your privacy policy?,"Our privacy policy outlines how we collect, use, and protect your personal information. Please visit our Privacy Policy page for detailed information.",orders_shipping,orders_shipping,0.8359,web_chat,True
2026-03-01T23:44:00Z,SESS10052,Can I request a refund if the price drops after my purchase?,"If the price of a product drops within 7 days of your purchase, you may be eligible for a price adjustment. Please contact our customer support team with your order details.",payment_promotions,payment_promotions,0.603,web_chat,True
